timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
270477,12.19,-5.33,12.86,0.41,7.05,1.01
270512,10.93,-2.16,15.35,0.47,6.98,0.93
270547,10.08,-1.83,17.04,0.66,6.96,0.97
270582,10.38,-5.29,19.18,0.82,7.01,1.09
270617,7.09,-4.19,20.38,0.80,6.99,1.00
270652,5.52,-5.27,22.08,0.79,6.96,0.99
270687,3.55,-5.24,21.98,0.85,6.94,1.11
270722,0.57,-2.99,22.64,0.88,6.91,0.92
270757,-1.80,-5.22,22.84,1.00,6.94,0.98
270792,-2.67,-5.56,20.54,1.03,6.92,1.09
270827,-6.12,-2.35,21.65,1.08,6.99,1.04
270862,-7.36,-7.92,18.70,0.62,7.05,1.15
270897,-8.70,-5.03,17.24,-0.23,7.14,1.16
270932,-9.53,0.47,16.59,-0.54,7.26,0.90
270967,-10.34,2.73,15.62,-0.44,7.46,0.68
271002,-9.88,4.21,14.49,-0.11,7.73,0.65
271037,-7.62,2.04,11.47,0.31,7.94,0.87
271072,-5.57,-1.30,9.69,0.50,8.07,1.09
271107,-2.31,-0.72,9.51,0.58,8.20,1.21
271142,1.25,-0.52,9.56,0.62,8.33,1.27
271177,3.35,-0.13,10.79,0.74,8.47,1.24
271212,5.40,-1.62,11.97,0.90,8.70,1.20
271247,9.45,-4.47,14.74,0.82,8.73,1.36
271282,12.39,-4.74,17.98,0.74,8.73,1.37
271317,12.67,-5.34,21.11,0.67,8.73,1.30
271352,12.57,-5.67,24.15,0.64,8.73,1.15
271387,11.14,-5.35,27.11,0.74,8.73,1.03
271422,8.68,-4.63,29.77,0.90,8.73,0.91
271457,6.25,-3.91,30.64,1.00,8.73,0.81
271492,2.71,-4.42,31.12,1.25,8.73,0.83
271527,-0.04,-3.76,30.89,1.44,8.73,0.95
271562,-3.65,-6.38,28.76,1.42,8.73,1.23
271597,-6.03,-5.47,26.59,1.35,8.71,1.42
271632,-6.30,-5.95,23.55,1.23,8.73,1.58
271667,-7.34,-3.71,21.63,1.13,8.73,1.67
271702,-5.44,-3.57,18.31,1.14,8.73,1.77
271737,-5.52,-4.85,14.69,1.13,8.73,1.92
271772,-2.51,-5.56,13.04,1.09,8.73,2.13
271807,0.02,-5.80,12.12,0.93,8.73,2.19
271842,2.27,-4.97,11.42,0.79,8.73,2.11
271877,5.33,-4.00,13.06,0.67,8.73,2.01
271912,8.18,-4.25,14.81,0.69,8.73,1.88
271947,10.66,-4.87,16.64,0.59,8.73,1.84
271982,12.20,-3.87,19.40,0.56,8.73,1.76
272017,13.47,-3.80,22.26,0.55,8.73,1.68
272052,11.95,-3.84,25.17,0.57,8.73,1.65
272087,10.13,-5.54,27.96,0.71,8.73,1.73
272123,7.52,-4.73,29.79,0.81,8.73,1.94
272162,4.98,-6.28,30.24,0.72,8.62,2.21
272197,1.94,-5.54,29.87,0.47,8.58,2.26
272232,-0.53,-5.19,30.06,0.32,8.59,2.14
272267,-3.87,-3.85,29.19,0.27,8.64,1.98
272302,-6.62,-2.61,28.28,0.39,8.69,1.80
272337,-7.33,-2.32,24.49,0.55,8.73,1.69
272372,-7.75,-2.95,21.15,0.68,8.73,1.68
272407,-7.20,-2.96,18.37,0.82,8.73,1.79
272442,-4.89,-3.55,14.96,0.88,8.73,1.93
272477,-1.53,-4.21,12.33,0.87,8.73,2.04
272512,1.39,-4.41,11.26,0.76,8.73,2.03
272547,4.55,-4.22,11.91,0.66,8.73,1.95
272582,6.33,-2.99,11.59,0.60,8.73,1.85
272617,8.53,-3.89,13.76,0.59,8.73,1.76
272652,10.90,-3.30,16.26,0.58,8.73,1.67
272687,11.99,-3.59,19.94,0.57,8.73,1.61
272722,12.92,-4.70,22.92,0.54,8.73,1.49
272757,11.96,-4.87,25.96,0.52,8.73,1.35
272792,9.57,-4.37,27.56,0.54,8.73,1.15
272827,8.00,-3.78,29.98,0.67,8.73,1.03
272862,4.69,-2.85,31.62,0.83,8.73,0.91
272897,1.78,-3.20,31.98,1.07,8.73,0.88
272932,-1.30,-3.49,32.01,1.26,8.73,0.95
272967,-4.21,-5.42,29.83,1.27,8.73,1.15
273002,-6.49,-4.80,26.91,1.07,8.73,1.32
273037,-7.00,-3.07,23.94,0.87,8.73,1.35
273072,-7.85,-1.54,21.74,0.77,8.73,1.29
273107,-4.28,0.23,18.43,0.81,8.73,1.23
273142,-3.13,0.52,15.42,0.91,8.73,1.18
273177,-0.89,1.60,13.69,1.01,8.73,1.20
273212,2.24,-0.83,12.57,1.11,8.73,1.28
273247,5.26,-0.42,12.93,1.20,8.73,1.34
273282,6.40,-0.78,13.87,1.27,8.73,1.39
273317,9.45,-2.45,16.41,1.34,8.73,1.48
273352,11.88,-3.37,18.78,1.30,8.73,1.59
273387,12.85,-5.27,20.74,1.17,8.73,1.69
273422,12.26,-5.15,23.90,1.00,8.73,1.70
273457,10.68,-5.84,26.44,0.95,8.73,1.72
273492,8.45,-3.90,29.11,0.89,8.73,1.73
273527,6.81,-6.96,31.20,0.92,8.73,1.97
273562,4.02,-7.27,32.24,0.89,8.73,2.14
273597,0.71,-7.17,31.92,0.70,8.73,2.25
273632,-2.22,-6.52,30.42,0.54,8.73,2.22
273667,-4.98,-5.20,29.55,0.54,8.73,2.07
273702,-6.07,-3.68,27.39,0.59,8.73,1.96
273737,-7.54,-4.16,24.03,0.71,8.73,1.94
273772,-7.09,-4.36,20.90,0.81,8.73,2.00
273807,-5.16,-4.76,16.34,0.88,8.73,2.17
273842,-2.45,-4.84,13.11,0.83,8.73,2.28
273877,1.04,-8.64,12.47,0.65,8.73,2.51
273912,3.64,-10.77,12.82,0.34,8.73,2.62
273947,4.94,-9.13,12.27,0.05,8.73,2.55
273982,7.41,-8.36,14.28,-0.17,8.73,2.38
274017,9.08,-6.73,17.21,-0.30,8.73,2.10
274052,11.78,-3.10,20.94,-0.25,8.73,1.81
274087,12.33,-2.84,25.29,0.01,8.73,1.63
274122,11.68,-3.88,29.31,0.23,8.73,1.54
274157,9.45,-4.08,32.12,0.42,8.73,1.57
274197,7.00,-4.92,34.06,0.54,8.73,1.73
274232,2.86,-6.15,33.93,0.52,8.73,1.84
274267,0.01,-5.72,33.59,0.42,8.73,1.89
274302,-1.72,-3.69,31.67,0.24,8.73,1.88
274337,-4.00,-3.25,30.52,0.16,8.73,1.75
274373,-6.05,-1.84,27.41,0.13,8.73,1.57
274407,-5.74,-0.57,23.51,0.25,8.73,1.40
274442,-4.79,1.28,20.14,0.38,8.73,1.30
274477,-4.44,0.60,17.71,0.57,8.73,1.26
274512,-1.90,0.15,15.95,0.70,8.73,1.24
274547,0.80,0.48,14.93,0.82,8.73,1.26
274582,4.64,0.21,14.74,0.92,8.73,1.31
274617,6.67,-2.24,14.15,0.98,8.73,1.44
274652,9.75,-4.82,16.70,0.93,8.73,1.54
274687,11.31,-5.42,19.97,0.80,8.73,1.59
274722,12.32,-5.28,22.47,0.68,8.73,1.57
274757,12.12,-5.63,25.51,0.65,8.73,1.47
274792,10.93,-5.30,28.82,0.68,8.73,1.38
274827,9.00,-3.86,31.61,0.77,8.73,1.32
274862,6.59,-5.50,32.98,0.87,8.73,1.35
274897,3.44,-5.54,33.70,0.96,8.73,1.42
274932,0.51,-4.88,34.29,1.04,8.73,1.49
274967,-2.09,-4.04,31.40,1.12,8.73,1.51
275002,-4.38,-3.74,28.59,1.27,8.73,1.50
275037,-6.26,-4.72,25.45,1.34,8.73,1.59
275072,-6.08,-5.52,22.42,1.28,8.73,1.69
275107,-5.98,-4.52,20.47,1.18,8.73,1.75
275142,-4.80,-3.27,17.85,1.09,8.73,1.71
275177,-3.10,-2.02,15.68,1.06,8.73,1.67
275212,-0.12,-2.03,14.81,1.08,8.73,1.64
275247,4.38,-2.07,15.32,1.11,8.73,1.65
275282,7.16,-2.26,16.02,1.14,8.73,1.71
275317,9.06,-3.08,17.00,1.20,8.73,1.74
275352,11.10,-4.38,19.77,1.19,8.73,1.81
275387,12.52,-3.66,23.63,1.17,8.73,1.90
275422,12.63,-5.47,26.34,1.21,8.73,2.01
275457,11.74,-6.76,29.55,1.18,8.73,2.11
275492,8.56,-8.16,31.65,1.08,8.73,2.19
275527,5.24,-7.85,32.45,0.93,8.73,2.17
275562,2.75,-7.22,34.63,0.84,8.73,2.08
275597,-0.06,-6.39,32.72,0.82,8.73,1.96
275632,-2.92,-5.21,30.87,0.86,8.73,1.82
275667,-5.69,-5.93,29.16,0.96,8.73,1.73
275702,-6.41,-4.41,26.60,0.99,8.73,1.71
275737,-6.71,-3.87,22.82,0.89,8.73,1.66
275772,-5.88,-2.73,19.52,0.80,8.73,1.56
275807,-3.04,0.09,16.80,0.70,8.73,1.30
275842,0.14,1.32,14.70,0.78,8.73,1.05
275877,0.95,2.04,13.32,0.92,8.73,0.90
275912,4.51,1.65,14.42,1.13,8.73,0.98
275947,5.96,-0.68,15.57,1.21,8.73,1.18
275982,9.03,-2.96,17.77,1.19,8.73,1.37
276018,12.20,-5.08,20.63,1.16,8.73,1.48
276052,13.68,-6.23,22.98,1.09,8.73,1.53
276087,13.17,-5.37,26.29,1.05,8.73,1.55
276122,10.83,-6.61,29.02,1.05,8.73,1.57
276157,8.24,-5.95,31.29,1.03,8.73,1.54
276192,4.85,-5.67,32.22,1.05,8.73,1.55
276232,2.48,-6.07,31.99,1.11,8.73,1.56
276267,-0.56,-6.06,30.79,1.19,8.73,1.56
276302,-3.05,-5.16,29.89,1.30,8.73,1.58
276338,-5.67,-6.76,28.31,1.37,8.73,1.71
276372,-7.32,-4.63,25.97,1.42,8.73,1.86
276407,-7.96,-6.05,22.14,1.46,8.73,2.03
276442,-5.60,-6.23,18.12,1.43,8.73,2.25
276477,-5.02,-7.37,14.67,1.36,8.73,2.45
276512,-2.41,-7.25,13.68,1.16,8.73,2.51
276547,0.89,-6.52,13.13,0.96,8.73,2.43
276581,4.12,-3.27,13.87,0.88,8.73,2.16
276616,6.61,-2.03,14.84,0.93,8.73,1.99
276651,8.77,-1.43,16.65,1.09,8.73,1.87
276686,11.54,-2.14,19.87,1.24,8.73,1.87
276721,13.41,-2.54,22.50,1.36,8.73,1.94
276756,13.35,-4.61,24.97,1.40,8.73,2.08
276791,11.66,-7.35,26.80,1.29,8.73,2.18
276826,9.58,-6.02,29.40,1.05,8.73,2.16
276861,7.12,-7.60,30.80,0.86,8.73,2.09
276895,4.17,-7.19,31.64,0.80,8.73,2.02
276930,0.73,-6.60,32.96,0.76,8.73,1.92
276965,-2.04,-5.58,31.42,0.75,8.73,1.83
277000,-4.47,-5.25,29.46,0.79,8.73,1.75
277035,-4.90,-4.02,26.27,0.84,8.73,1.72
277070,-6.06,-4.55,22.98,0.87,8.73,1.72
277105,-5.83,-2.87,19.82,0.89,8.73,1.72
277140,-4.64,-2.89,17.10,0.88,8.73,1.72
277175,-3.90,-3.75,14.38,0.89,8.73,1.73
277210,-1.65,-1.64,13.18,0.88,8.73,1.68
277245,1.73,-1.93,13.39,0.89,8.73,1.61
277280,4.94,-2.21,13.55,0.95,8.73,1.57
277315,8.61,-2.96,14.00,0.99,8.73,1.59
277350,10.99,-3.96,17.03,1.01,8.73,1.63
277385,12.17,-4.54,19.47,0.99,8.73,1.64
277420,12.49,-5.00,21.97,0.98,8.73,1.66
277455,11.87,-5.91,24.62,1.04,8.73,1.73
277490,10.21,-6.28,27.85,1.03,8.73,1.79
277525,7.91,-7.29,30.96,1.01,8.73,1.78
277560,4.67,-5.82,32.38,0.95,8.73,1.72
277595,1.40,-5.55,32.83,1.02,8.73,1.62
277630,-1.36,-4.53,32.38,1.16,8.73,1.55
277665,-4.15,-4.03,30.50,1.28,8.73,1.50
277700,-5.66,-5.74,27.61,1.31,8.73,1.59
277735,-6.75,-5.16,25.26,1.25,8.73,1.69
277769,-7.57,-5.29,22.45,1.12,8.73,1.72
277804,-5.15,-3.48,19.12,0.95,8.73,1.66
277839,-2.79,-1.44,16.18,0.88,8.73,1.50
277874,-1.03,-0.56,14.15,0.91,8.73,1.37
277909,2.54,-0.01,13.52,0.98,8.73,1.31
277944,6.01,-0.26,13.66,1.10,8.73,1.29
277979,8.53,-0.42,13.69,1.21,8.73,1.35
278014,10.24,-1.53,15.47,1.25,8.73,1.48
278049,11.80,-3.99,19.46,1.25,8.73,1.61
278084,12.89,-4.31,22.14,1.18,8.73,1.71
278119,12.33,-5.54,24.31,1.13,8.73,1.77
278154,11.04,-6.51,27.40,1.07,8.73,1.81
278189,9.23,-6.99,30.12,1.04,8.73,1.84
278224,5.71,-7.22,31.51,0.99,8.73,1.90
278264,2.82,-6.80,32.96,0.94,8.73,1.90
278299,-0.22,-7.20,33.04,0.90,8.73,1.89
278334,-2.94,-6.13,30.87,0.91,8.73,1.84
278369,-5.78,-6.09,28.66,0.91,8.73,1.82
278404,-6.24,-4.42,25.75,0.91,8.73,1.82
278439,-7.07,-3.99,21.73,0.95,8.73,1.82
278474,-6.29,-3.56,18.16,0.93,8.73,1.84
278509,-4.16,-3.49,15.41,0.89,8.73,1.83
278544,-2.14,-2.64,13.83,0.84,8.73,1.77
278579,1.55,-2.20,13.33,0.81,8.73,1.72
278614,5.30,-1.77,13.54,0.82,8.73,1.60
278649,7.98,-2.50,13.85,0.83,8.73,1.58
278684,9.99,-3.42,16.27,0.84,8.73,1.57
278719,11.46,-5.46,18.74,0.79,8.73,1.58
278754,12.55,-4.64,20.95,0.70,8.73,1.55
278789,11.99,-5.51,23.54,0.63,8.73,1.47
278824,10.49,-5.78,27.01,0.56,8.73,1.31
278859,8.11,-4.70,29.83,0.61,8.73,1.16
278894,7.12,-4.33,32.53,0.76,8.73,1.19
278929,3.85,-5.16,32.99,0.93,8.73,1.30
278964,0.34,-6.07,32.76,0.98,8.73,1.50
278999,-2.13,-4.86,30.09,0.95,8.73,1.57
279034,-5.15,-4.64,28.78,0.95,8.73,1.56
279069,-6.26,-3.12,26.55,0.94,8.73,1.56
279104,-6.98,-3.61,23.21,0.95,8.73,1.57
279139,-6.53,-2.76,20.78,0.95,8.73,1.57
279174,-6.33,-1.80,18.20,0.96,8.73,1.56
279209,-4.66,-0.09,15.40,0.94,8.73,1.44
279244,-0.14,0.84,14.04,1.04,8.73,1.34
279279,3.38,2.49,13.77,1.17,8.73,1.25
279315,5.60,1.80,14.11,1.43,8.73,1.14
279349,6.98,-0.14,14.14,1.67,8.73,1.21
279384,9.29,-2.96,17.76,1.76,8.73,1.42
279419,11.51,-5.61,21.12,1.63,8.73,1.64
279454,12.75,-6.90,24.32,1.38,8.73,1.72
279489,11.92,-7.27,27.12,1.15,8.73,1.72
279524,9.88,-7.37,29.13,0.95,8.73,1.53
279559,8.08,-5.81,31.49,0.91,8.73,1.26
279594,5.09,-5.22,32.98,1.02,8.73,1.09
279629,1.88,-5.22,32.91,1.17,8.73,1.15
279664,-1.14,-6.28,31.44,1.15,8.73,1.38
279699,-4.22,-6.22,29.94,1.01,8.73,1.56
279734,-5.55,-4.56,27.37,0.82,8.73,1.65
279769,-6.15,-4.18,23.82,0.74,8.73,1.64
279804,-7.50,-2.29,21.26,0.78,8.73,1.61
279838,-6.87,-2.37,18.67,0.83,8.73,1.64
279873,-4.75,-2.92,15.93,0.85,8.73,1.69
279908,-2.26,-2.18,14.38,0.87,8.73,1.73
279942,1.28,-2.29,14.04,0.85,8.73,1.71
279977,5.48,-3.06,14.24,0.86,8.73,1.66
280012,8.35,-1.83,14.84,0.89,8.73,1.64
280046,10.85,-4.19,17.08,0.90,8.73,1.64
280081,11.87,-5.36,19.82,0.82,8.73,1.64
280116,12.38,-5.41,22.51,0.75,8.73,1.59
280151,12.09,-5.34,26.06,0.72,8.73,1.51
280186,10.53,-4.77,29.00,0.74,8.73,1.45
280221,8.34,-4.65,30.99,0.80,8.73,1.39
280256,5.10,-4.72,30.90,0.86,8.73,1.39
280296,1.81,-6.34,32.30,0.90,8.73,1.52
280331,-1.09,-5.47,32.11,0.81,8.73,1.64
280366,-3.53,-5.43,29.79,0.71,8.73,1.70
280401,-5.73,-3.95,27.75,0.60,8.73,1.68
280436,-6.52,-2.64,24.48,0.58,8.73,1.61
280471,-7.22,-1.85,22.12,0.65,8.73,1.59
280506,-5.85,-1.84,19.50,0.77,8.73,1.63
280541,-4.58,-3.08,16.47,0.80,8.73,1.68
280576,-2.57,-2.09,14.64,0.82,8.73,1.72
280611,1.07,-3.34,13.03,0.82,8.73,1.82
280646,4.01,-3.14,13.42,0.77,8.73,1.86
280681,6.98,-4.26,14.22,0.73,8.73,1.89
280716,10.48,-2.96,16.35,0.73,8.73,1.84
280751,12.65,-2.94,19.11,0.86,8.73,1.77
280786,13.51,-3.57,21.65,0.94,8.73,1.75
280821,12.62,-3.74,23.52,1.02,8.73,1.80
280856,10.85,-4.71,25.16,1.08,8.70,1.91
280891,8.39,-6.41,26.74,1.02,8.73,1.96
280926,6.94,-6.38,29.88,0.94,8.73,1.92
280961,3.84,-6.71,31.59,0.89,8.73,1.83
280996,0.77,-6.05,31.53,0.96,8.73,1.68
281031,-1.93,-4.67,30.86,1.13,8.73,1.49
281066,-4.42,-4.84,28.80,1.25,8.73,1.50
281101,-7.23,-4.43,27.18,1.33,8.73,1.59
281136,-7.35,-5.51,23.96,1.32,8.73,1.72
281171,-7.24,-5.77,20.38,1.21,8.73,1.80
281206,-7.65,-3.99,17.22,1.11,8.73,1.85
281241,-5.98,-1.71,15.13,0.99,8.73,1.79
281276,-1.63,-2.59,14.32,0.98,8.73,1.77
281311,0.80,-1.68,13.22,0.97,8.73,1.73
281347,5.58,-1.71,14.06,0.99,8.73,1.69
281381,9.08,-2.48,14.72,1.07,8.73,1.67
281416,11.24,-2.27,17.28,1.17,8.73,1.67
281451,12.43,-3.29,19.95,1.22,8.73,1.72
281486,12.58,-3.22,21.95,1.29,8.73,1.82
281521,11.83,-4.76,24.55,1.33,8.73,1.97
281556,10.46,-6.84,27.12,1.25,8.73,2.09
281591,8.09,-7.23,29.29,1.11,8.73,2.09
281626,5.07,-7.62,30.69,0.95,8.73,2.03
281661,2.63,-5.95,31.31,0.87,8.73,1.87
281696,-0.27,-5.63,31.46,0.89,8.73,1.75
281731,-3.02,-4.66,30.22,0.91,8.73,1.74
281766,-5.23,-4.34,27.79,0.94,8.73,1.76
281801,-5.71,-4.25,24.06,0.89,8.73,1.76
281836,-6.43,-3.99,21.24,0.82,8.73,1.74
281871,-6.54,-2.19,19.41,0.77,8.73,1.70
281906,-5.06,-2.44,16.31,0.74,8.73,1.64
281941,-4.30,-0.62,14.41,0.76,8.73,1.59
281976,0.05,-2.07,13.14,0.79,8.73,1.61
282011,2.16,-2.73,12.39,0.75,8.73,1.61
282046,4.75,-3.04,11.52,0.72,8.73,1.63
282081,7.73,-3.70,13.34,0.67,8.73,1.64
282116,9.59,-5.20,15.35,0.61,8.73,1.58
282151,11.50,-5.40,18.22,0.55,8.73,1.49
282186,12.43,-5.40,21.89,0.54,8.73,1.39
282221,11.90,-4.02,24.87,0.54,8.73,1.26
282256,10.93,-5.06,27.43,0.61,8.73,1.15
282291,8.49,-4.20,30.85,0.76,8.73,1.04
282331,5.29,-3.71,32.41,0.91,8.73,1.09
282366,2.08,-4.84,33.04,1.08,8.73,1.22
282401,-1.05,-4.44,31.78,1.10,8.73,1.34
282436,-4.19,-5.34,29.52,1.04,8.73,1.49
282471,-6.09,-4.08,26.79,1.00,8.73,1.56
282506,-6.91,-4.19,22.80,0.96,8.73,1.60
282541,-7.69,-2.88,19.45,0.92,8.73,1.60
282576,-5.91,-1.81,16.91,0.94,8.73,1.66
282612,-4.14,-2.09,14.82,0.95,8.73,1.68
282646,-1.89,-1.66,13.14,0.93,8.73,1.70
282681,2.21,-2.70,12.12,0.91,8.73,1.70
282716,5.86,-1.37,12.33,0.91,8.73,1.67
282751,7.47,-1.69,13.03,0.93,8.73,1.66
282786,10.05,-2.30,14.77,0.97,8.73,1.66
282822,10.68,-3.11,16.76,0.99,8.73,1.70
282856,11.53,-3.42,19.18,1.00,8.73,1.75
282891,11.77,-4.77,22.83,0.99,8.73,1.80
282926,11.20,-5.08,26.16,0.95,8.73,1.85
282961,9.82,-6.31,28.40,0.89,8.73,1.86
282997,7.08,-6.27,30.22,0.84,8.73,1.86
283031,4.00,-6.59,30.55,0.76,8.73,1.89
283066,0.73,-6.15,31.14,0.68,8.73,1.86
283101,-2.01,-5.46,30.99,0.62,8.73,1.80
283136,-4.47,-5.44,28.85,0.61,8.73,1.74
283171,-5.72,-4.12,26.10,0.67,8.73,1.68
283206,-7.40,-3.27,23.95,0.78,8.73,1.66
283241,-7.10,-3.23,20.53,0.88,8.73,1.68
283276,-6.48,-3.18,17.47,1.00,8.73,1.81
283311,-4.71,-4.48,14.90,1.06,8.73,1.97
283346,-2.33,-4.93,12.28,1.02,8.73,2.08
283381,-0.09,-4.26,11.45,0.89,8.73,2.06
283416,3.53,-3.09,12.02,0.87,8.73,1.89
283451,7.63,0.24,13.97,0.98,8.73,1.72
283486,10.59,-0.64,16.64,1.20,8.73,1.62
283521,12.37,-3.52,18.14,1.31,8.73,1.63
283556,12.87,-4.38,20.91,1.23,8.73,1.74
283591,12.04,-7.19,23.74,1.08,8.73,1.77
283626,10.87,-6.24,26.66,0.91,8.73,1.70
283661,8.71,-5.19,29.18,0.82,8.73,1.61
283696,6.74,-5.77,30.93,0.82,8.73,1.66
283731,3.72,-6.12,31.34,0.78,8.73,1.77
283766,0.45,-6.48,30.25,0.68,8.73,1.93
283801,-2.66,-5.35,29.58,0.51,8.73,1.97
283836,-4.78,-4.71,28.00,0.41,8.73,1.86
283871,-5.14,-2.70,25.39,0.40,8.73,1.75
283906,-7.49,-2.48,22.97,0.50,8.73,1.65
283941,-8.91,-1.40,21.26,0.58,8.73,1.59
283976,-5.96,-1.59,18.33,0.72,8.73,1.64
284011,-5.16,-2.42,15.45,0.79,8.73,1.68
284046,-2.71,-1.93,13.32,0.78,8.73,1.62
284081,1.17,-0.87,13.45,0.81,8.73,1.49
284116,4.47,-0.54,12.52,0.90,8.73,1.36
284151,7.63,0.29,14.00,1.05,8.73,1.31
284186,9.67,-2.18,16.08,1.13,8.73,1.30
284221,11.48,-3.94,18.17,1.02,8.73,1.36
284256,12.77,-7.08,21.97,0.82,8.73,1.32
284291,12.19,-6.09,25.52,0.57,8.73,1.11
284326,9.91,-4.84,28.10,0.54,8.73,0.84
284366,8.72,-2.87,30.67,0.72,8.73,0.63
284401,5.54,-3.48,30.98,0.97,8.73,0.69
284436,2.57,-3.74,32.36,1.21,8.73,0.86
284471,-1.07,-4.68,32.73,1.27,8.73,1.16
284506,-3.80,-5.01,30.39,1.19,8.73,1.43
284541,-5.93,-4.93,28.58,1.09,8.73,1.62
284576,-7.09,-3.05,26.35,1.09,8.73,1.71
284611,-7.26,-4.55,22.98,1.13,8.73,1.81
284646,-6.46,-5.04,19.24,1.16,8.73,2.01
284682,-5.68,-5.06,16.56,1.13,8.73,2.25
284716,-2.28,-7.91,14.78,1.02,8.73,2.47
284751,1.09,-8.91,13.46,0.78,8.73,2.71
284786,3.99,-7.76,13.63,0.50,8.73,2.68
284821,8.47,-5.91,14.82,0.36,8.73,2.45
284856,11.22,-4.07,18.14,0.37,8.73,2.19
284891,12.62,-2.60,21.57,0.54,8.73,1.98
284926,13.28,-3.18,24.31,0.73,8.73,1.92
284961,12.22,-2.29,26.33,0.90,8.73,2.03
284996,10.64,-4.30,28.19,0.98,8.73,2.14
285031,9.13,-6.66,29.97,0.93,8.73,2.18
285066,7.15,-5.78,32.08,0.80,8.73,1.99
285101,3.85,-4.96,32.50,0.78,8.73,1.68
285136,0.19,-3.35,32.48,0.91,8.73,1.38
285171,-3.51,-3.56,31.08,1.03,8.73,1.35
285206,-6.00,-5.09,29.87,1.06,8.73,1.43
285241,-5.96,-3.86,26.09,0.99,8.73,1.52
285276,-6.72,-2.53,22.51,0.92,8.73,1.50
285311,-4.83,-0.67,19.50,0.91,8.73,1.45
285347,-5.18,0.09,17.37,0.94,8.73,1.40
285381,-3.43,0.04,15.41,0.99,8.73,1.37
285416,0.52,-0.36,14.31,1.09,8.73,1.43
285451,5.31,-1.49,13.11,1.12,8.73,1.53
285486,8.80,-2.36,15.19,1.17,8.73,1.63
285521,10.80,-2.41,16.84,1.14,8.73,1.69
285556,12.05,-3.12,18.69,1.17,8.73,1.72
285591,11.90,-4.80,21.42,1.20,8.73,1.76
285626,11.86,-4.74,24.13,1.20,8.73,1.82
285661,10.58,-5.74,26.78,1.12,8.73,1.84
285696,8.43,-6.13,29.73,1.01,8.73,1.76
285731,6.83,-6.01,32.15,0.95,8.73,1.61
285766,3.61,-6.50,32.92,1.03,8.73,1.43
285801,0.45,-5.47,33.90,1.23,8.73,1.31
285836,-1.91,-4.86,31.68,1.36,8.73,1.33
285871,-4.52,-5.96,29.19,1.35,8.73,1.48
285906,-5.60,-5.58,25.90,1.24,8.73,1.64
285941,-8.37,-5.21,23.44,1.07,8.73,1.69
285976,-7.18,-2.76,20.88,0.91,8.73,1.69
286011,-5.70,-2.79,17.90,0.84,8.73,1.64
286046,-3.00,-0.93,15.34,0.83,8.73,1.60
286081,0.03,-2.53,13.46,0.87,8.73,1.67
286116,3.76,-2.54,13.67,0.84,8.73,1.75
286151,6.24,-3.20,14.44,0.80,8.73,1.78
286186,8.60,-2.99,15.62,0.83,8.73,1.71
286221,11.08,-1.10,17.98,0.94,8.73,1.66
286256,12.48,-1.68,21.13,1.10,8.73,1.66
286291,12.01,-4.19,24.07,1.21,8.73,1.73
286326,11.77,-4.80,26.84,1.22,8.73,1.82
286362,9.74,-7.22,29.04,1.14,8.73,1.80
286401,7.03,-5.54,31.55,1.08,8.73,1.63
