timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
320725,0.17,-13.50,15.50,0.70,8.73,3.22
320760,1.92,-13.58,15.56,0.04,8.73,3.40
320795,6.21,-9.14,18.63,-0.18,8.73,2.99
320830,10.37,-8.54,24.35,-0.58,8.73,2.59
320865,12.86,-7.91,29.05,-0.51,8.73,2.16
320900,13.79,-3.76,33.95,-0.35,8.73,1.76
320935,11.57,-5.48,37.20,-0.16,8.73,1.55
320970,9.16,-2.90,39.22,0.09,8.73,1.44
321010,4.55,-6.37,39.01,0.32,8.73,1.66
321045,-0.44,-2.73,38.49,0.07,8.73,1.85
321080,-1.56,-2.72,36.65,0.04,8.73,1.57
321115,-4.20,0.28,32.38,0.07,8.73,1.32
321150,-4.56,2.89,31.16,0.27,8.73,1.09
321185,-6.71,2.30,28.24,0.44,8.73,0.87
321220,-6.48,3.04,24.93,0.57,8.73,0.73
321255,-2.56,7.70,22.78,0.84,8.73,0.35
321289,2.46,10.77,22.09,1.24,8.73,0.11
321325,3.36,8.85,22.80,1.88,8.73,0.08
321359,3.75,5.90,18.96,2.27,8.73,0.51
321394,7.54,2.88,23.70,2.63,8.73,1.12
321429,11.10,-5.32,28.69,2.41,8.73,1.73
321464,14.31,-8.09,33.64,2.18,8.73,2.15
321499,13.42,-9.18,37.28,1.92,8.73,2.39
321534,10.24,-8.38,39.97,1.69,8.73,2.47
321569,5.54,-9.78,40.55,1.50,8.73,2.48
321604,3.01,-7.27,44.07,1.42,8.73,2.14
321639,0.39,-7.25,43.33,1.84,8.73,1.84
321674,-2.94,-6.70,42.08,2.52,8.73,1.77
321709,-4.52,-11.89,37.98,2.97,8.73,2.19
321744,-5.04,-19.15,31.96,2.81,8.73,2.76
321779,-7.54,-15.88,29.47,2.19,8.73,3.00
321815,-4.82,-10.89,27.24,1.55,8.73,2.80
321849,-1.23,-5.03,26.25,1.25,8.73,2.44
321884,4.15,-2.69,26.63,1.29,8.73,2.18
321919,8.56,-3.10,27.70,1.36,8.73,2.14
321954,13.67,-4.40,30.95,1.31,8.73,2.27
321989,14.28,-8.18,33.57,1.20,8.73,2.31
322024,14.41,-7.53,35.95,1.30,8.73,2.34
322059,12.90,-8.09,39.48,1.37,8.73,2.58
322094,9.73,-10.15,41.29,1.32,8.73,2.96
322129,5.71,-11.25,44.31,1.09,8.73,3.11
322165,2.16,-11.43,45.74,0.77,8.73,3.04
322199,-1.43,-8.54,44.10,0.67,8.73,2.78
322234,-3.84,-5.29,41.22,0.95,8.73,2.50
322269,-4.16,-6.20,36.95,1.30,8.73,2.47
322304,-1.75,-12.05,30.99,1.45,8.73,2.64
322339,-6.62,-13.24,29.59,1.31,8.73,2.81
322374,-3.61,-8.47,28.17,1.08,8.73,2.70
322409,1.06,-5.66,26.66,0.91,8.73,2.41
322444,6.75,-3.15,25.96,0.98,8.73,2.20
322479,11.02,-4.65,27.70,1.04,8.73,2.16
322514,12.36,-4.36,31.21,1.05,8.73,2.13
322549,13.47,-6.15,34.12,1.05,8.73,2.14
322584,13.67,-8.73,37.46,1.02,8.73,2.13
322619,12.62,-7.34,41.13,0.93,8.73,2.03
322655,9.03,-7.20,44.07,0.94,8.73,1.99
322689,4.32,-8.53,44.30,1.02,8.73,1.82
322724,0.85,-7.90,44.71,1.30,8.73,1.69
322759,-2.87,-7.86,43.28,1.57,8.73,1.74
322794,-5.05,-7.43,40.74,1.71,8.73,1.92
322829,-6.59,-10.64,35.94,1.53,8.73,2.05
