timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
28307,6.39,-0.66,7.30,0.24,0.41,0.19
28342,6.46,-0.89,7.70,0.28,0.48,0.21
28377,6.06,-1.66,7.31,0.23,0.59,0.13
28412,6.11,-1.07,7.68,0.18,0.74,-0.01
28447,5.87,-1.29,8.18,0.14,0.86,-0.16
28487,5.57,-0.28,8.51,0.14,0.95,-0.18
28522,5.55,-0.20,9.30,0.14,0.97,-0.11
28557,4.94,-0.34,8.77,0.14,1.02,-0.12
28592,4.53,-0.77,8.95,0.15,1.01,-0.01
28627,4.64,-0.48,9.73,0.14,1.06,0.07
28662,4.36,1.11,10.06,0.17,1.24,0.15
28697,3.81,-0.57,9.66,0.19,1.41,0.21
28732,3.37,-2.54,9.85,0.22,1.60,0.32
28767,2.96,-0.83,11.09,0.21,1.81,0.34
28802,2.41,-2.10,10.82,0.17,1.94,0.52
28837,1.50,-1.57,10.58,0.18,2.10,0.67
28872,0.92,-0.80,11.68,0.13,2.24,0.73
28907,0.23,-1.30,11.94,-0.02,2.36,0.96
28942,-0.71,-1.68,11.90,-0.04,2.53,1.00
28977,-1.41,-1.71,11.53,-0.03,2.74,0.97
29012,-2.92,-1.18,14.52,0.08,3.03,0.78
29047,-4.48,-3.85,15.34,0.11,3.43,0.80
29082,-4.70,-2.42,12.85,-0.10,3.68,1.04
29117,-5.45,-3.31,12.02,-0.19,3.81,1.11
29152,-7.58,-0.60,12.69,-0.34,3.96,1.09
29187,-7.46,1.53,10.92,-0.16,4.09,0.92
29222,-7.67,-0.06,8.82,0.02,4.11,0.81
29257,-9.06,-2.46,7.79,0.12,4.14,0.77
29292,-10.59,-0.66,8.19,0.16,4.21,0.77
29327,-10.60,-1.14,7.07,0.14,4.39,0.71
29362,-9.62,0.46,6.00,0.04,4.60,0.64
29397,-9.70,0.26,4.91,0.06,4.80,0.60
29432,-10.64,1.23,3.30,0.07,4.99,0.60
29467,-7.28,1.17,3.10,0.20,5.20,0.71
29502,-6.00,-0.60,0.27,0.41,5.23,1.10
29537,-5.15,-1.87,-1.45,0.42,5.24,1.42
29572,-3.35,-3.57,-1.55,0.37,5.30,1.63
29607,-1.36,-3.55,-0.52,0.23,5.35,1.87
29642,1.38,-4.24,-1.30,0.06,5.35,1.99
29677,4.41,-3.65,-0.96,-0.11,5.36,1.91
29712,7.48,-1.18,-0.19,-0.13,5.31,1.71
29747,8.93,-1.44,0.10,-0.15,5.28,1.54
29782,9.00,-0.41,2.31,-0.16,5.26,1.45
29817,8.79,0.21,2.11,0.03,5.23,1.28
29852,12.53,-0.50,6.43,0.38,5.36,1.12
29887,10.75,3.81,6.17,0.54,5.26,1.17
29922,10.91,-0.63,7.60,0.64,5.36,1.20
29957,10.12,-1.53,10.41,0.81,5.42,1.31
29992,9.51,-2.70,13.00,0.80,5.36,1.43
30026,9.29,-2.22,14.46,0.77,5.17,1.52
30061,7.70,-3.67,15.06,0.75,5.06,1.64
30096,6.28,-4.94,15.23,0.71,5.08,1.71
30131,4.70,-4.10,16.12,0.63,5.14,1.72
30166,3.41,-4.36,17.94,0.55,5.29,1.63
30201,1.78,-3.70,18.90,0.49,5.49,1.43
30236,-0.28,-3.82,18.21,0.54,5.63,1.26
30271,-2.20,-2.15,18.40,0.59,5.72,1.13
30306,-4.73,-3.69,18.01,0.63,5.77,1.06
30341,-6.22,-3.45,17.46,0.59,5.86,1.12
30376,-7.28,-3.40,16.18,0.51,5.97,1.14
30411,-8.15,-2.34,14.47,0.42,6.05,1.15
30446,-8.25,-1.56,12.29,0.47,6.11,1.15
30481,-9.06,-1.42,9.88,0.56,6.14,1.15
30521,-7.92,-1.50,7.57,0.61,6.15,1.20
30556,-7.94,-1.43,5.63,0.49,6.22,1.16
30591,-6.24,-0.17,4.74,0.49,6.30,1.18
30626,-4.62,-0.22,3.59,0.47,6.40,1.17
30661,-3.38,-1.98,2.02,0.49,6.46,1.43
30696,-0.55,-5.43,0.72,0.36,6.46,1.74
30731,3.47,-7.12,1.56,0.08,6.38,1.97
30766,3.60,-6.42,2.67,-0.19,6.28,2.04
30801,9.87,-3.51,2.49,-0.35,6.19,1.83
30836,7.52,-2.18,2.72,-0.36,6.23,1.60
30871,9.31,1.93,6.62,-0.15,6.43,1.44
30906,8.94,0.72,8.31,0.13,6.50,1.32
30941,11.35,-0.28,11.01,0.51,6.62,1.28
30976,9.83,-2.36,13.38,0.64,6.75,1.23
31011,10.68,-2.90,16.26,0.65,6.87,1.24
31046,8.94,-4.85,18.50,0.61,6.97,1.16
31081,6.99,-3.07,21.01,0.60,7.11,1.01
31115,6.42,-2.89,23.11,0.63,7.21,0.98
31150,3.43,-3.43,24.21,0.70,7.36,1.13
31185,1.43,-3.98,25.26,0.69,7.49,1.32
31220,-1.81,-4.31,26.28,0.44,7.61,1.61
31255,-4.13,-4.83,24.91,0.12,7.71,1.77
31290,-5.11,-2.29,23.00,-0.15,7.79,1.70
31325,-6.90,0.03,21.33,-0.24,7.87,1.51
31360,-7.00,1.62,18.93,-0.13,7.94,1.32
31395,-7.66,2.24,16.04,0.24,7.93,1.28
31430,-6.83,-0.09,12.52,0.71,7.83,1.53
31465,-4.95,-4.40,9.29,0.97,7.66,1.97
31500,-4.27,-7.22,7.42,0.93,7.57,2.36
31535,-2.47,-8.15,6.74,0.71,7.60,2.69
31570,-0.26,-8.13,6.76,0.43,7.71,2.74
31605,3.02,-6.27,6.86,0.23,7.84,2.59
31640,7.48,-4.21,9.03,0.16,7.95,2.29
31675,9.14,-3.04,11.27,0.21,7.99,2.03
31710,10.42,-3.66,14.11,0.30,8.05,1.88
31745,11.45,-2.76,16.76,0.37,8.08,1.80
31780,11.69,-3.48,19.55,0.43,8.10,1.79
31816,11.28,-4.41,22.50,0.49,8.11,1.84
31850,9.05,-4.77,24.64,0.53,8.10,1.97
31885,7.07,-6.61,26.60,0.54,8.05,2.18
31920,4.20,-5.99,27.50,0.41,8.01,2.40
31955,1.35,-6.62,27.78,0.12,8.06,2.52
31990,-1.13,-5.62,29.45,-0.14,8.19,2.39
32025,-3.34,-3.30,28.55,-0.22,8.39,2.08
32060,-4.67,-2.05,26.24,-0.10,8.52,1.75
32095,-6.29,-1.90,23.64,0.04,8.57,1.51
32130,-6.69,-0.76,20.83,0.15,8.61,1.36
32165,-7.25,-0.44,17.82,0.27,8.61,1.19
32200,-5.81,0.70,14.88,0.35,8.64,1.01
32235,-4.51,1.38,12.66,0.45,8.66,0.74
32270,-1.85,3.26,11.47,0.62,8.71,0.42
32305,1.10,4.11,11.73,0.91,8.73,0.31
32340,4.65,2.03,10.92,1.20,8.70,0.43
32375,6.90,-0.50,11.48,1.35,8.71,0.70
32410,9.51,-3.51,13.83,1.23,8.71,1.04
32445,10.34,-5.44,17.41,1.08,8.70,1.20
32480,10.81,-6.16,20.44,0.94,8.70,1.20
32515,10.36,-5.51,23.03,0.85,8.73,1.15
32555,10.90,-4.84,25.84,0.88,8.73,1.05
32590,7.87,-4.70,28.50,0.97,8.73,1.00
32625,5.35,-4.74,30.01,1.09,8.73,1.09
32660,2.36,-5.80,30.89,1.19,8.73,1.25
32695,-1.00,-5.72,30.57,1.32,8.73,1.37
32730,-3.50,-4.82,29.09,1.34,8.73,1.47
32765,-5.19,-4.71,26.63,1.35,8.73,1.59
32800,-6.62,-4.70,23.23,1.34,8.66,1.69
32835,-6.92,-4.71,19.37,1.34,8.52,1.78
32870,-5.89,-4.87,15.81,1.35,8.36,1.91
32905,-6.49,-6.19,13.77,1.28,8.26,2.05
32940,-6.01,-6.36,11.83,1.18,8.26,2.18
32975,-3.31,-5.91,10.38,1.01,8.33,2.19
33010,-0.04,-4.19,10.39,0.86,8.42,2.12
33045,4.45,-2.33,11.26,0.79,8.49,2.00
33080,6.93,-1.02,11.22,0.79,8.52,1.89
33115,9.99,-1.96,13.15,0.81,8.61,1.86
33150,11.34,-2.81,16.14,0.85,8.68,1.83
33185,11.75,-3.23,19.44,0.88,8.69,1.85
33220,12.18,-4.10,22.27,0.96,8.66,1.90
33255,11.11,-5.80,24.80,0.97,8.62,1.98
33290,9.40,-6.57,27.04,0.88,8.60,2.05
33325,6.81,-7.16,29.12,0.79,8.54,2.10
33360,4.35,-7.58,29.89,0.65,8.56,2.07
