timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
4351,7.83,0.33,-5.84,0.25,-0.00,-0.00
4387,7.83,0.31,-5.83,0.25,0.00,-0.00
4421,7.82,0.28,-5.85,0.25,0.00,-0.01
4456,7.82,0.30,-5.86,0.25,0.00,-0.01
4491,7.82,0.27,-5.85,0.25,0.01,-0.01
4526,7.82,0.34,-5.78,0.25,0.01,-0.01
4561,7.80,0.25,-5.87,0.25,0.01,-0.01
4596,7.80,0.32,-5.86,0.24,0.01,-0.00
4631,7.82,0.52,-5.77,0.25,0.01,-0.00
4666,7.75,0.25,-5.90,0.25,0.02,-0.00
4701,7.81,0.42,-5.89,0.25,0.02,0.01
4736,7.80,0.51,-5.80,0.26,0.03,0.01
4771,7.87,0.55,-5.78,0.27,0.03,0.01
4806,7.90,0.41,-5.80,0.28,0.03,0.01
4841,7.89,0.24,-5.75,0.28,0.03,0.02
4876,7.96,0.35,-5.77,0.27,0.03,0.02
4911,7.88,0.24,-5.72,0.27,0.02,0.03
4946,7.46,0.48,-5.53,0.27,0.02,0.03
4981,7.76,0.56,-6.15,0.33,0.04,-0.00
5016,7.86,-0.39,-6.17,0.28,0.06,0.01
5051,7.47,-0.09,-5.60,0.25,0.06,0.02
5086,8.19,-0.55,-5.88,0.21,0.05,0.03
5121,8.18,0.32,-5.42,0.17,0.05,0.04
5156,8.11,0.81,-5.48,0.23,0.06,0.02
5191,7.77,1.13,-5.44,0.30,0.08,-0.04
5226,8.00,-0.13,-6.16,0.33,0.10,-0.05
5261,7.47,-0.30,-5.79,0.27,0.12,-0.04
5296,7.40,0.27,-5.63,0.26,0.14,-0.03
5332,7.93,0.37,-6.00,0.23,0.16,-0.01
5366,7.55,0.48,-5.65,0.22,0.18,0.01
5401,7.83,0.53,-5.59,0.26,0.21,0.00
5436,8.02,0.51,-5.39,0.24,0.23,0.02
5471,8.07,0.22,-5.46,0.25,0.25,0.02
5506,8.24,0.47,-5.21,0.23,0.26,0.04
5541,7.90,1.26,-4.87,0.28,0.27,0.04
5576,8.07,0.98,-5.39,0.36,0.31,0.04
5611,7.75,0.46,-5.32,0.39,0.37,0.04
5646,7.31,-0.01,-5.23,0.38,0.44,0.07
5681,7.51,-0.37,-5.53,0.32,0.52,0.11
5716,7.24,0.12,-5.38,0.27,0.63,0.15
5751,7.49,0.38,-4.92,0.26,0.74,0.19
5786,8.09,0.21,-4.64,0.26,0.83,0.22
5821,8.64,0.62,-3.90,0.30,0.91,0.23
5856,9.03,0.11,-3.45,0.33,0.94,0.25
5891,9.03,0.42,-2.83,0.35,0.97,0.28
5926,9.74,0.16,-2.74,0.42,0.97,0.29
5961,9.34,-1.03,-2.36,0.40,0.98,0.31
5996,9.49,-1.68,-1.95,0.29,0.98,0.32
6031,10.15,-1.35,-1.87,0.22,0.98,0.33
6066,9.56,-1.34,-1.17,0.16,0.98,0.33
6106,10.33,-0.53,-0.28,0.12,0.89,0.32
6141,10.49,-0.58,-0.28,0.17,0.85,0.32
6176,11.42,-0.87,0.40,0.21,0.78,0.32
6211,10.13,-1.53,0.25,0.24,0.71,0.29
6246,9.84,-1.57,0.36,0.22,0.61,0.29
6281,10.50,-1.63,0.55,0.21,0.55,0.26
6316,10.51,-1.73,0.68,0.25,0.52,0.24
6352,10.00,-1.66,0.81,0.26,0.48,0.23
6387,9.38,-0.23,1.07,0.24,0.44,0.22
6421,9.62,0.14,0.92,0.48,0.42,0.28
6456,10.13,-1.42,0.80,0.54,0.45,0.31
6491,10.43,-2.90,0.78,0.49,0.48,0.31
6526,9.41,-4.13,0.81,0.29,0.52,0.28
6561,10.01,-1.77,1.53,0.22,0.53,0.25
6596,9.97,-2.11,1.71,0.21,0.54,0.26
6631,9.32,0.21,2.35,0.33,0.52,0.31
6666,9.03,-1.08,2.16,0.56,0.48,0.37
6701,10.23,-0.68,2.69,0.74,0.45,0.43
6736,8.91,-2.81,2.47,0.82,0.44,0.47
6771,8.77,-3.99,2.59,0.76,0.41,0.44
6806,9.32,-5.48,2.40,0.49,0.42,0.30
6841,10.55,-4.17,3.08,0.27,0.46,0.19
6876,9.06,-4.27,3.00,0.15,0.47,0.14
6911,8.53,-0.52,3.45,0.21,0.41,0.16
6946,9.38,-1.11,3.61,0.49,0.36,0.30
6981,8.80,-1.38,3.51,0.69,0.34,0.43
7016,8.55,-2.32,3.52,0.85,0.35,0.50
7051,8.61,-4.48,3.26,0.83,0.40,0.48
7087,8.45,-5.76,3.11,0.66,0.52,0.33
7121,8.62,-5.07,3.63,0.48,0.63,0.16
7156,7.83,-5.00,3.60,0.35,0.72,0.02
7191,7.89,-3.40,4.21,0.25,0.77,-0.11
7226,9.01,-2.15,5.30,0.28,0.80,-0.09
7261,8.09,-2.70,5.08,0.36,0.81,0.00
7296,7.08,-3.21,4.67,0.35,0.83,0.00
7331,8.51,-3.99,6.25,0.36,0.85,0.03
7367,8.03,-0.89,5.42,0.40,0.92,0.01
7401,6.77,-2.28,4.41,0.37,1.00,-0.09
7436,7.61,-2.95,6.23,0.31,1.06,-0.24
7471,7.71,0.07,7.24,0.25,1.23,-0.35
7506,7.79,-1.39,8.04,0.24,1.46,-0.39
7541,6.74,-2.88,7.86,0.21,1.66,-0.40
7576,5.09,-3.70,6.89,0.21,1.82,-0.37
7611,4.72,-0.36,8.52,0.37,1.86,-0.20
7646,5.91,0.96,10.46,0.50,1.80,-0.04
7681,5.39,2.09,10.82,0.54,1.82,0.15
7716,3.73,-3.03,8.80,0.55,1.86,0.31
7751,3.54,-3.27,9.32,0.51,1.98,0.22
7786,3.34,-2.95,10.52,0.52,2.14,0.25
7821,2.89,-2.95,11.63,0.60,2.40,0.29
7856,1.83,-1.33,11.28,0.66,2.71,0.26
7891,0.87,-1.63,12.55,0.66,2.97,0.20
7926,-0.17,-1.62,12.84,0.75,3.22,0.05
