timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
160866,-0.29,4.17,-7.88,0.43,1.33,0.27
160901,0.69,4.14,-7.91,0.46,1.44,0.30
160936,0.49,3.86,-7.99,0.48,1.54,0.38
160971,1.18,4.45,-7.89,0.51,1.71,0.44
161006,1.19,5.94,-6.87,0.63,1.86,0.37
161041,3.17,4.23,-7.15,0.72,2.01,0.35
161076,3.35,3.11,-7.35,0.74,2.17,0.42
161111,3.28,5.30,-5.20,0.89,2.33,0.33
161146,5.36,3.65,-5.69,1.05,2.47,0.33
161181,4.60,0.78,-4.75,0.99,2.61,0.50
161216,5.04,-0.72,-4.47,0.76,2.79,0.75
161251,3.74,2.15,-4.38,0.69,3.04,0.87
161286,4.02,1.70,-3.71,0.83,3.48,0.86
161321,6.98,-1.47,-2.70,0.91,3.94,0.92
161356,8.47,4.10,2.59,1.01,4.21,1.02
161391,10.13,0.62,5.55,1.11,4.28,1.15
161426,10.91,-2.06,7.58,1.11,4.15,1.31
161461,9.92,-0.94,8.45,0.99,3.98,1.38
161496,10.46,-2.57,9.15,0.94,3.96,1.44
161531,8.91,-2.20,9.76,0.96,3.99,1.65
161566,8.22,-2.54,11.47,1.02,4.09,1.93
161601,6.36,-4.58,11.72,0.98,4.19,2.13
161636,6.09,-3.90,13.36,0.88,4.29,2.41
161671,3.93,-5.41,14.53,0.68,4.43,2.34
161706,2.75,-5.54,16.27,0.57,4.60,2.13
161741,1.33,-4.06,17.05,0.46,4.81,1.80
161776,-0.45,-3.10,14.71,0.40,4.94,1.42
161811,-3.25,-3.67,17.55,0.35,4.84,1.27
161846,-4.18,-4.87,16.69,0.27,4.79,1.29
161881,-2.88,-1.99,10.32,0.26,4.78,1.22
161916,-4.69,-2.79,7.35,0.23,4.62,1.07
161951,-6.81,-2.48,8.31,0.15,4.45,1.02
161986,-7.13,-3.93,7.95,-0.04,4.43,1.08
162021,-8.48,-0.11,8.57,-0.32,4.54,0.97
162056,-11.04,2.23,9.68,0.02,4.75,0.95
162091,-6.36,-3.24,4.16,0.19,4.76,0.98
162126,-10.96,-1.17,5.19,0.02,4.75,0.92
162161,-10.65,0.90,3.64,0.06,4.83,0.91
162196,-6.95,0.71,0.90,0.23,4.81,0.99
162231,-4.74,-0.80,-2.40,0.41,4.58,1.25
162266,-3.59,-0.80,-4.44,0.54,4.32,1.63
162301,-1.59,-4.29,-4.03,0.54,4.05,2.07
162336,-0.62,-4.87,-4.69,0.37,3.85,2.25
162371,0.03,-2.72,-6.17,0.22,3.75,2.41
162406,2.74,-4.36,-6.11,-0.01,3.70,2.58
162441,18.05,-1.37,-0.57,-0.18,4.10,2.54
162476,-1.73,-1.68,-5.80,-0.09,4.80,1.62
162511,-3.62,5.55,-6.25,0.10,5.18,1.26
162546,-1.36,-4.64,-2.69,-0.21,4.88,1.53
162581,0.76,-15.29,-3.74,-1.31,4.54,1.75
162616,5.99,-7.80,-1.75,-2.15,4.69,1.78
162651,8.01,0.96,3.18,-2.38,5.18,1.41
162686,6.17,6.41,7.21,-1.78,5.61,1.04
162721,9.80,4.36,8.81,-0.71,5.96,1.06
162761,10.87,1.83,12.66,-0.12,6.18,1.11
162796,9.63,-1.60,15.26,0.25,6.22,1.27
162831,8.67,-1.78,17.69,0.35,6.21,1.33
162866,7.44,-2.57,18.99,0.42,6.19,1.45
162901,5.51,-1.31,20.89,0.40,6.23,1.59
162936,3.30,-2.30,19.37,0.36,6.09,1.79
162971,1.70,-2.82,20.29,0.14,6.00,1.96
163006,-0.32,-4.59,18.62,-0.16,5.94,2.11
163041,-2.56,-2.72,20.01,-0.37,6.01,2.02
163076,-4.58,-1.60,19.67,-0.42,6.16,1.78
163111,-6.55,2.36,19.21,-0.18,6.29,1.44
163146,-8.06,-0.82,17.21,-0.04,6.40,1.23
163181,-8.79,-1.15,16.15,-0.03,6.52,1.20
163216,-8.72,-0.08,14.30,0.04,6.66,1.17
163251,-10.15,1.67,12.94,0.27,6.75,1.19
163286,-8.70,-0.24,11.14,0.55,6.91,1.36
163321,-7.64,-1.45,9.44,0.69,7.08,1.53
