timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
89347,-5.26,-5.82,18.64,1.02,8.73,2.23
89382,-0.76,-3.61,16.97,0.89,8.73,2.01
89416,4.40,-2.78,17.61,0.87,8.73,1.94
89451,8.69,-4.08,18.18,0.86,8.73,1.92
89491,10.64,-5.06,20.54,0.82,8.73,1.91
89526,12.96,-6.03,23.01,0.80,8.73,1.90
89561,12.88,-3.88,26.60,0.82,8.73,1.87
89596,11.08,-6.31,29.48,0.92,8.73,1.94
89631,10.52,-6.62,33.22,0.89,8.73,1.95
89666,8.27,-7.17,36.40,0.85,8.73,1.97
89700,4.85,-7.57,38.12,0.84,8.73,2.01
89735,1.14,-6.32,39.47,0.74,8.73,2.03
89770,-1.91,-7.48,35.91,0.69,8.73,2.00
89805,-5.06,-4.47,35.11,0.62,8.73,1.91
89840,-7.17,-5.52,32.30,0.55,8.73,1.84
89875,-6.92,-2.22,28.16,0.58,8.73,1.74
89910,-5.11,-2.38,24.82,0.72,8.73,1.72
89945,-3.70,-2.57,22.35,0.87,8.73,1.82
89980,-1.42,-4.91,21.18,0.91,8.73,1.94
90014,-0.68,-6.00,19.79,0.86,8.73,2.02
90049,5.11,-3.65,21.80,0.79,8.73,1.97
90084,10.25,-6.66,22.74,0.73,8.73,1.99
90119,12.33,-6.26,26.30,0.66,8.73,1.96
90154,12.95,-6.03,30.42,0.68,8.73,1.84
90189,12.67,-5.03,33.43,0.85,8.73,1.83
90224,11.95,-7.82,37.05,1.02,8.73,1.93
90259,8.54,-6.12,39.43,1.11,8.73,2.09
90294,4.80,-7.52,39.97,1.06,8.73,2.25
90329,1.42,-8.20,40.93,0.92,8.73,2.34
90364,-1.67,-8.49,38.32,0.78,8.73,2.40
90399,-3.87,-5.48,35.32,0.67,8.73,2.31
90434,-5.39,-4.19,32.19,0.63,8.73,2.24
90469,-6.87,-5.11,29.01,0.72,8.73,2.22
90504,-5.71,-5.09,26.18,0.87,8.73,2.31
90539,-4.99,-7.43,22.54,0.82,8.73,2.60
90574,0.32,-10.74,21.32,0.67,8.73,2.74
90609,4.11,-9.43,21.23,0.37,8.73,2.79
90644,7.54,-10.91,22.12,0.13,8.73,2.60
90679,10.43,-8.53,24.89,-0.01,8.73,2.36
90714,13.42,-7.27,28.46,-0.18,8.73,2.03
90749,12.93,-6.17,33.48,-0.12,8.73,1.66
90784,12.53,-3.46,38.52,0.06,8.73,1.39
90820,9.77,-3.62,41.50,0.38,8.73,1.27
90854,6.62,-4.02,43.35,0.67,8.73,1.38
90889,3.11,-5.02,43.96,0.74,8.73,1.55
90924,-0.41,-6.94,41.18,0.70,8.73,1.74
90959,-3.57,-3.78,39.96,0.60,8.73,1.78
90995,-5.34,-3.50,36.92,0.53,8.73,1.66
91029,-5.70,0.44,33.57,0.61,8.73,1.55
91064,-4.52,-0.10,29.85,0.77,8.73,1.48
91099,-3.12,0.02,26.56,0.94,8.73,1.49
91134,2.73,-0.59,24.70,1.08,8.73,1.64
91169,7.32,-4.24,24.07,1.15,8.73,1.77
91204,10.62,-5.83,24.01,1.11,8.73,1.93
91239,11.87,-7.03,25.84,0.96,8.73,2.01
91274,12.75,-6.35,29.74,0.83,8.73,1.96
91309,13.71,-4.79,33.29,0.81,8.73,1.89
91344,12.43,-7.01,36.48,0.86,8.73,1.84
91379,9.48,-6.41,39.43,0.95,8.73,1.79
91414,6.16,-6.78,40.59,0.98,8.73,1.81
91449,3.01,-6.84,41.84,1.05,8.73,1.85
91484,-0.27,-5.48,41.32,1.07,8.73,1.85
91524,-3.07,-6.23,37.61,1.12,8.73,1.89
91559,-6.87,-6.31,37.02,1.12,8.73,1.94
91594,-4.89,-5.47,31.84,0.94,8.73,1.94
91629,-5.37,-3.00,27.88,0.82,8.73,1.72
91664,-4.42,0.99,25.49,0.81,8.73,1.60
91699,0.07,-1.91,24.06,0.96,8.73,1.61
91734,4.23,-2.57,23.82,1.00,8.73,1.76
91769,8.34,-5.01,23.78,0.91,8.73,1.92
91804,10.77,-7.22,25.14,0.82,8.73,1.98
91840,13.44,-7.71,28.73,0.63,8.73,1.94
